title,channel_id,view_cnt,like_cnt,dislike_cnt,subscribe_cnt
黃明志 Namewee 【亞麻比 Yamabi】@亞洲通話 Calling Asia,UCFUtqTcgJgRnmZ3tMU6P74Q,209204,7508,122,2180000
徐雲霄《不如》【陪你到世界之巔 Gank Your Heart OST電視劇插曲】官方動態歌詞MV (無損高音質),UCCZasUiMCAk7rxq4HqZjmKQ,11064,105,1,113000
印子月《安心》【陪你到世界之巔 Gank Your Heart OST電視劇插曲】官方動態歌詞MV (無損高音質),UCCZasUiMCAk7rxq4HqZjmKQ,10425,103,2,113000
Limi - 二分之一 (Official Audio),UCh16MQDjZLtYzCqrH36dNYg,43858,1862,3,28500
Allyson 陳瑾緗 -《漿果森林 Berry Forest》Official Music Video,UCwx0C5kHxmOABOcYgUAnpZQ,12393,216,2,1630
六艾司 Lilice 小冰【我要女朋友】(Official Audio),UC3NCqDhGPeyw1Ou0DQhnfZA,102722,4750,38,119000
CosmosPeople 宇宙人 [ 你的宇宙YOUNIVERSE ] Official Music Video,UC7ovu6a8ydIbDy0fAKmoZ9A,397653,1572,19,2260000
徐雲霄 & 楊安《如果說》【陪你到世界之巔 Gank Your Heart OST電視劇插曲】官方動態歌詞MV (無損高音質),UCCZasUiMCAk7rxq4HqZjmKQ,8378,72,1,113000
白安ANN [ 所愛之初 Begin of Love ] Official Music Video,UC7ovu6a8ydIbDy0fAKmoZ9A,435990,2188,24,2260000
Bii 畢書盡 - 都不是真的 Not Really（官方歌詞版）,UCEsinqZjZ11w0T9ZvyKIr6A,27573,815,8,1580000
TIA袁娅维《不亏不欠》官方MV(Official Music Video),UCFUhDDZ0O_Ee615gI4dA_oQ,234573,1419,31,14800
信 Shin【醒 We Can Go On】Official Music Video,UCgcWfH1yD6Z65U92bJfiU7g,68074,1360,13,0
鄭興 Leon Zheng【過於喧囂的孤獨 Too Loud a Solitude】Official Music Video,UCG8FsvuItdL9hKsO3g144uw,169863,3922,21,4110
玖壹壹 × 187INC謀殺有限公司 × 賴慈泓 × BCW × 草屯囝仔 × 臭屁嬰仔 × 艾文同學  × DJ T-Time【Fire 火】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,788460,8932,616,2510000
鄭心慈 Kelly Cheng《幸福藏在哪裡 The Hidden Happiness》Official Music Video -【天堂的微笑】片頭曲,UCjp4b34V4urWmyLXYSfyURQ,160849,3336,20,1510
張智成 Z-Chen【我本來就難搞】HD 官方完整版 MV,UCAWnuGH5fKJKM-DiWrdbgJA,173724,411,21,354000
張信哲 Jeff Chang [ 慢慢走 ] 官方完整版 MV,UC4hxafoFUs2HlbgRlvhMi0Q,1303093,830,38,14200
I Don't Know You - 小魚｜Official Lyric Video,UCvElwlN8LxtQm4YUERxTs1w,35238,1766,9,37600
印子月《Yes or No》【陪你到世界之巔 Gank Your Heart OST電視劇插曲】官方動態歌詞MV (無損高音質),UCCZasUiMCAk7rxq4HqZjmKQ,14117,135,2,113000
看見妳的聲音,UCZ6ZmIhAv5ZZThYapiTunCw,35548,339,8,69100
張震嶽 ayal komod【遠走高飛 Gone Away】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,225102,4460,67,2510000
魏嘉瑩 Arrow Wei【剛剛好 的眼淚】Official Music Video,UCl__rQRN5o5OrozeUNOOIDA,523434,1389,18,41300
八三夭 831【想見你想見你想見你 Miss You 3000】電視劇『想見你』片尾曲 Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,631432,11789,81,2510000
吳是閎【你不愛了嗎 Don't you love】 - M/V,UCM66Qro1D_dE9L27vX9QIRA,30952,425,5,1930
陳昊姝《那場雨》【哪裡有彩虹告訴我 Where is the Rainbow Tell Me OST電視劇插曲)】官方高畫質 Official HD MV,UCCZasUiMCAk7rxq4HqZjmKQ,11164,50,1,113000
林俊傑 JJ Lin 《Wonderland》 Official Music Video,UCd91HSXKhsIv8PIjNrDByHQ,660363,9187,141,1130000
袁詠琳 Cindy Yen【我相信你了 I Believe】Official Lyric MV - 電視劇「用九柑仔店」插曲,UCKUlsqazP-4QmxdEtUPlxOA,263609,745,16,1670000
楊乃文 Naiwen Yang 【貴族的輓歌 A Requiem For The Nobles】Official Music Video,UCvgowwd4EPdfzDqmXQX0vKA,306271,1480,15,0
橋本裕太Yuta Hashimoto / 春服 Harufuku 中字MV,UCFtUq0ml-coWmD70Pt_urRA,9653,129,2,424000
魏如萱 waa wei [ 恐慌症 Panic Attack ] Official Music Video,UC8wIQijqOBL13NQ2pHG1sUw,427864,2677,28,13600
[avex官方HD] 劉維 – 只是紀念 官方完整版MV,UCH1AHDav6J-2XYkl243Uj3Q,7683,83,0,234000
少一點天份(Demo版)-張簡君偉|官方版 Official Lyrics MV,UCzRFlyBUVHk91LBdKB12ypg,13668,101,1,6500
華晨宇【與火星的孩子對話】Official 官方 MV,UCuDENeTDozuf7RcNsXgqaog,357570,15446,93,27300
唐芯 Tangxin《怎麼忘了你》Official MV 【HD】,UCzlIY_B9uPngUnRMtVVaGsg,21048,67,7,121000
陳昇 Bobby Chen【公主校花】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,56088,887,30,2510000
陳立農 Chen Linong《專屬合約》Official Music Video,UC_R022JQ8NXSk7nP2t-A9aQ,81855,5718,44,23100
田亞霍Elvis【朋友很簡單 Just Friends】Official Lyric Video,UCNdi__cyJxXiuVDP1KAfSmg,17078,478,5,116000
丁冠森《目光之吻》【陪你到世界之巔 Gank Your Heart OST電視劇插曲】官方動態歌詞MV (無損高音質),UCCZasUiMCAk7rxq4HqZjmKQ,13698,89,4,113000
鼓鼓 呂思緯 [ 樂高 Lego ] Official Music Video,UC7ovu6a8ydIbDy0fAKmoZ9A,316882,898,69,2260000
PiA吳蓓雅｜星期六的晚上 lyric video,UCISxpg-ujUIkA8wtCl8gtKw,13791,270,6,10300
弦子《天空之外》【陪你到世界之巔 Gank Your Heart OST電視劇片尾曲】官方動態歌詞MV (無損高音質),UCCZasUiMCAk7rxq4HqZjmKQ,36705,539,4,113000
王一博《最燃的冒險》【陪你到世界之巔 Gank Your Heart OST電視劇主題曲】官方動態歌詞MV (無損高音質),UCCZasUiMCAk7rxq4HqZjmKQ,24034,352,4,113000
Fever_English Version - Julia Wu｜Official Music Video,UCXIfiWFXOYGpcGHY0PALO7g,35008,766,7,159000
郁可唯 Yisa Yu [ 我的城 My City ] Official Live Video,UCCsUQXwhDj4iVlhG4VCq6Kg,25332,320,1,1450000
周深【願得一心人（《鶴唳華亭》主題曲）】HD 官方完整版 MV,UCAWnuGH5fKJKM-DiWrdbgJA,198516,1269,38,354000
Allyson 陳瑾緗 -《Gold》Official Music Video,UCwx0C5kHxmOABOcYgUAnpZQ,13781,131,4,1630
小春Kenzy【沒在怕的 Fearle$$ness】Official Music Video (4K Video),UCPcF3KTqhD67ADkukx_OeDg,463850,7646,315,2510000
李佳歡Kar Fun -《口語化Insincerity 》(Official Music Video),UCBVRZrlm8LJrK2QRBFsmnMA,233571,1224,15,1400
張韶涵Angela Zhang【還 Return】Official Lyrics video,UC5Lksw1oqe_AdKcO9MELoJA,43095,1163,8,113000
《我的世代》- 羅志祥Show Lo  (Cover Remix by C.T.O J.Win李振緯),UC8Dh3TZrwCM9jOjb-xDyHnA,16330,451,7,11400
李友廷 Yo Lee、吳霏 Fei、楊碧琪 Becky | 偽裝 Pretend (Official),UCtYjRhIDoaXqCTDyodYv6VQ,189379,7774,37,88500
J.Sheon - Ballad 輸情歌 (Official Music Video),UC6zFATnplJUo81fH64InI4g,1252867,23276,196,151000
佛跳牆 BUDDHA JUMP《關你屁事 None Of Your Business》Official Music Video,UC770sFWzLmJ38nHX6NTunow,88279,484,8,6950
吳青峰〈我在原地等你〉（電影【我在原地等你】同名主題曲）,UCDBKa4DLm_t3MjUgr_E-RDA,288044,4322,60,108000
Night Keepers守夜人樂團 [ 活在自己的世界 In My Universe ] MV,UCOlupgA2QVdAljxtJCoP6Hg,349974,4625,96,24800
彭佳慧 Julia Peng《流年》Music Video - 網絡劇『明月照我心』插曲,UCqrwuyW3vq1G5VhP2JXh3Pg,4067,66,3,21700
曾淑勤 Avai《九路巴士 Bus No.9》Official MV【HD】,UCzlIY_B9uPngUnRMtVVaGsg,15325,39,4,121000
RPG - 你說你是最美的花 Kittylicious (official Video),UCiCwyeUVo66so3iIMCNNgnA,24716,597,7,20100
陳威全《不荒》歌詞版,UCOnhqQ_brLlbOeoybRkyzMg,12582,65,2,8650
齊秦&莫文蔚 [ 可惜了 Too Bad ] Official Music video(電影『大約在冬季』主題片尾曲),UCCsUQXwhDj4iVlhG4VCq6Kg,658543,7534,184,1450000
林采欣 Bae【繭 Cocoon】Official Music Video,UC5CTH2h-cEHHxAeu7pbj9GA,19744,195,0,0
蕭秉治 Xiao Bing Chih [ Miss Incredible ] Official Live Video,UC7ovu6a8ydIbDy0fAKmoZ9A,79704,1489,14,2260000
MAYDAY五月天 [ 玫瑰少年 Womxnly ] feat.蔡依林 Official Live Video,UC7ovu6a8ydIbDy0fAKmoZ9A,1983613,29485,308,2260000
吳克群 Kenji Wu《後勁 Stamina》Official Music Video,UCyh5WuLi1-mYbbUe5E9eg3A,739867,3627,48,77000
陳昇 Bobby Chen【一直以來 Always】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,46823,827,25,2510000
Haor許書豪 ft. VChuan陳威全【路轉人不轉 Dream Walker】Official Music Video,UCk7MIOhQmKRBzftMhKLlJgQ,31573,445,3,19300
Allyson 陳瑾緗 -《哈哈 Ha Ha》Official Music Video,UCwx0C5kHxmOABOcYgUAnpZQ,18430,131,8,1630
"CHING G SQUAD -【SAME FLIGHT】 M/V (婁峻碩SHOU,ChrisFlow唐仲彣,高爾宣OSN,RĒD°芮德)",UCXun_5xw72M8d6KwOq1QC9g,295282,7465,66,34200
【顏社】春艷 - Coco (Official Audio),UCeHdCMkxJSYJEki-A87mDbg,101436,3002,17,123000
安妮朵拉 Anniedora  - 證明題 Proof (官方歌詞 Lyric MV),UCwBGuk_VkP060L2HXaK5OvA,2688,31,0,91
小男孩樂團 Men Envy Children【站在你的左邊 Standing On Your Left】華視「守著陽光守著你」插曲 Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,216335,3132,34,2510000
Fever - Julia Wu 吳卓源｜Official Music Video,UCXIfiWFXOYGpcGHY0PALO7g,291949,6297,57,159000
房東的貓 feat. 沈以誠 - 談戀愛前不如先養貓,UCzxpL4uverHpcLaheHEOzGA,110565,1923,10,16400
吳青峰〈失憶鎮 The Forgotten Town〉Official MV,UCDBKa4DLm_t3MjUgr_E-RDA,534730,4674,53,108000
胡夏   《悠然見南山》電影同名主題曲 Official Music Video,UCkwBGi-PNfJFCPmvFzrbEPA,11341,11,0,12200
[avex官方HD] JADE - 塞Tuck 官方完整版MV,UCH1AHDav6J-2XYkl243Uj3Q,20549,292,6,234000
Marz23 ft. TYSON YOSHI -【寂寞男孩lonely boy】(Audio),UCtN4KlUZKixA-hJOdZXGAHQ,382939,8393,37,31100
戴愛玲 Princess Ai《失物招領 Lost and Found》Official Music Video - 電視劇「用九柑仔店」片尾曲,UCBYALHUQro_Svk1rFUrWmXg,118379,301,8,34300
威視電影【陪你很久很久】電影主題曲《陪你很久很久》 (10.25 青春住了你),UC473xlhZEHOC9fakH_WXSnQ,168607,1601,16,17000
邱鋒澤 FENG ZE 『預言家』' Prophet ' Official Music Video,UCTKJ96FsE4sv86eSs8yNetw,931044,19898,140,150000
"邱鋒澤 FENG ZE, 陳零九 NINE CHEN 『那曾經』' Those Days '  OFFICIAL AUDIO",UCTKJ96FsE4sv86eSs8yNetw,435708,8060,31,150000
