title,channel_id,view_cnt,like_cnt,dislike_cnt,subscribe_cnt
卓義峯 Yifeng Zhuo -大太陽 Glowing Sun【豐華唱片official 官方MV】,UCWuxankMMiLybinHy9JgP8w,1040376,4675,216,195000
HUSH - [ 對等關係 ] Official Music Video,UCTn2cDYFfL7cP4rSX6qRzfQ,166722,1326,23,12000
李玖哲Nicky Lee-Secrets (Official MV) 人際關係事務所插曲,UC41chTExU798wQeJiF26deg,5554875,14573,313,5990
Rocket Girls (火箭少女101) - 卡路里 Calorie / Official MV,UCtnHII2-3rtd_udNKXijJ-A,5609163,59994,10584,118000
黃奕儒 Ezu [ 偶爾 Once in a While ] Official Music Video,UC7ovu6a8ydIbDy0fAKmoZ9A,388399,541,14,2250000
"吳青峰, 陳粒〈空舞〉歌詞版",UCDBKa4DLm_t3MjUgr_E-RDA,210380,3931,28,110000
李琦《時間飛行 Time of Flight》【網劇鎮魂插曲 Guardian | Trấn hồn OST】官方動態歌詞MV (無損高音質),UCCZasUiMCAk7rxq4HqZjmKQ,71720,683,9,119000
崔子格 Queena Cui - 你無法叫醒一個裝睡的人（官方版MV）,UCEsinqZjZ11w0T9ZvyKIr6A,220970,2648,38,1580000
王凱《一人份的孤獨》官方高畫質 Official HD MV,UCCZasUiMCAk7rxq4HqZjmKQ,121173,970,19,119000
未來星 - 搭訕指南 ( feat. 3Bangz ) / B3Rich - Playboy Guidebook ( feat. 3Bangz ),UCyyL7g6miayh6i73ISnhweQ,101173,958,263,59000
陳昇 Bobby Chen【粉紅色假期】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,102364,1068,76,2510000
楊影 feat.涂敏琦 - 拼圖（官方版MV）- 電影【台北我愛你】主題曲,UCEsinqZjZ11w0T9ZvyKIr6A,34300,272,21,1580000
薛之謙 Joker Xue【最好】HD 高清官方歌詞版 MV,UCAWnuGH5fKJKM-DiWrdbgJA,2537784,13349,304,355000
動力火車 Power Station feat. TANK [ 有本事 ] 影視劇 《熱血高校》主題曲 Official Music Video,UCCsUQXwhDj4iVlhG4VCq6Kg,85313,522,20,1450000
慶慶 Phoebe - 貓與毛線（官方版MV）,UCEsinqZjZ11w0T9ZvyKIr6A,31955,198,23,1580000
C.T.O -《牽著我 Take My Hand》Official MV,UCgQ8olRhkepJWlVF9IVmPGQ,1967428,6698,295,718000
謝和弦 R-chord – 31歲菜鳥新人(完整版）,UCzlbQkl8zRJW2LTW25oU0-g,39626,731,23,443000
【搭錯車音樂劇】[ 搭錯車 An Accident Of Love ]Official Music Video,UC7ovu6a8ydIbDy0fAKmoZ9A,124594,1070,18,2250000
朱七 - 青春（官方歌詞版）,UCEsinqZjZ11w0T9ZvyKIr6A,16782,85,10,1580000
霍尊《風語咒 The Wind Guardians》官方動態歌詞MV【電影風語咒同名主題曲】 (無損高音質) Hoắc Tôn-Phong Ngữ Chú,UCCZasUiMCAk7rxq4HqZjmKQ,49836,381,10,119000
許茹芸 Valen Hsu《芙烈亞 Freyja》Official Music Video,UCcafEUHJRBM5ktRJCidbbsQ,1239599,3555,179,18500
GAI周延 - 見字如面（官方版MV）,UCEsinqZjZ11w0T9ZvyKIr6A,92158,1225,35,1580000
陳謙文《微笑的力量》〔網劇《大約是愛》插曲〕 Official Lyric Video,UCkwBGi-PNfJFCPmvFzrbEPA,418213,2684,61,12300
呆寶靜 Double J【沒在怕 Not Afraid】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,312649,3904,742,2510000
李春嬡 Li Chun Ai - 宮牆柳（官方歌詞版）- 電視劇《延禧攻略》插曲,UCEsinqZjZ11w0T9ZvyKIr6A,1654840,7687,276,1580000
亦帆 Canace - 諜對蝶 Feat.婁峻碩 SHOU [Official Lyric Video],UCvOxdn_96ij7urV4dvvv12w,18269,71,6,36700
官鴻 花背後的溫柔MV-流星花園 電視劇插曲,UCgULt0pmnPcW4_hFiPALdDg,3385425,69382,391,120000
王子異 Boogie - AMH（官方版MV）,UCEsinqZjZ11w0T9ZvyKIr6A,125672,4329,55,1580000
林宥嘉-脆弱一分鐘 片花版MV（電視劇《愛情進化論》片頭曲）,UCCsUQXwhDj4iVlhG4VCq6Kg,1533502,6119,141,1450000
無畏的明天-Bii畢書盡 ｜甜蜜暴擊片頭曲  Official Lyrics MV,UCzRFlyBUVHk91LBdKB12ypg,1441436,12008,201,6520
愛上我別說 - 邱珮淇｜彩虹六部曲【美男魚澡堂】Mermaid Sauna Official MV | KKTV原創電視劇,UCnmEW0hRhpo62rE-S7M_lsg,25062,148,4,7360
陳慧琳 Kelly Chen《做自己的太陽》Be my own sunshine [Official MV],UCvJpGyOYkHxPORFQde8DP-w,610802,435,16,5540
=首播=FS (Fuying & Sam) [1234567] 官方HD MV,UCCEEZ4SZK9vOYrcunRDFayQ,263244,1408,38,54500
玖壹壹(Nine one one) - 我跟你卡好Ft.羅志祥SHOW 官方MV首播,UCIYA4KPaldLA535gazqX66A,12979488,41325,4561,922000
蕭秉治 Xiao Bing Chih [ 心狠手軟 Too Hard To Forget ] Official Music Video,UC7ovu6a8ydIbDy0fAKmoZ9A,857635,4565,75,2250000
賴慈泓【愛情化工廠 Love Chemical Factory】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,76760,951,36,2510000
WENDY 陳葦廷【Peace】「可爾必思」年度廣告歌 Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,62776,593,89,2510000
方季惟 Amber Fang - 雨夜花 Rainy Night Flowers (華納 Official HD 官方MV),UCStpPtoeQUYII1Jsbl0qf8A,47413,385,13,1490000
陳昇 Bobby Chen【華人公寓】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,65563,504,40,2510000
孫盛希 Shi Shi【分裂 Chaos】Official Music Video,UCPcF3KTqhD67ADkukx_OeDg,55355,402,60,2510000
